	loc_name	address	num_review	latitude	longitude
259	강릉 경포해수욕장	강원도 강릉시 창해로 514	71273	37.8057795	128.9074169
260	애견전용해수욕장 멍비치	강원도 양양군 현남면 광진리 78-20	1355	37.9534953	128.7727582
261	강문해변	강원도 강릉시 창해로 352	33658	37.7948321	128.9182433
262	사천진해변(사천뒷불해수욕장)	강원도 강릉시 사천면 진리해변길 111	26278	37.8411327	128.8753265
263	하평해변	강원도 강릉시 사천면 진리해변길 155	28947	37.8441613	128.8718901
264	여수 가사리 갈대밭	전라남도 여수시 소라면 관기길 327	0	34.7461108	127.5987842
265	순긋해변	강원도 강릉시 해안로 682-5	27412	37.8167541	128.8931087
266	금진해변	강원도 강릉시 옥계면 헌화로 271	29633	37.6395086	129.0434453
267	용인 대장금 테마파크	경기도 용인시 처인구 백암면 용천드라마길 25	0	37.1212087	127.3368503
268	SK텔레콤 New ICT체험관 T.um	서울특별시 중구 을지로 65	37243	37.566448	126.985114
269	촉석루	경상남도 진주시 남강로 626	44694	35.1784006	128.0974023
270	국립장성숲체원	전라남도 장성군 북이면 방장로 353	550	35.4440054	126.7514256
271	베어트리파크	세종특별자치시 전동면 신송로 217	62754	36.6724653	127.2100865
272	천안삼거리공원	충청남도 천안시 동남구 충절로 410	36462	36.7837024	127.168094
273	안양예술공원	경기도 안양시 만안구 예술공원로 131	87404	37.4188767	126.9202722
274	와룡자연휴양림	전라북도 장수군 천천면 비룡로 362	50800	35.697773	127.498846
275	에덴힐스 힐링파크	충청남도 홍성군 서부면 와룡로126번길 90	1	36.5749547	126.5277992
276	편백나무숲속 나폴리농원	경남 통영시 산양읍 영운리 미륵산길 152	37892	34.8015997	128.424209
277	파라다이스 스파도고	충청남도 아산시 도고면 도고온천로 176	50337	36.7662476	126.8865625
278	용평리조트	강원도 평창군 대관령면 올림픽로 715	34133	37.6450087	128.6829718
279	운암지 수변공원	대구광역시 북구 구암동	36039	35.9324688	128.569586
280	팜카밀레	충청남도 태안군 남면 우운길 56-19	38425	36.6873196	126.2825037
281	깊은산속 옹달샘	충청북도 충주시 노은면 우성1길 201-61	0	37.0258178	127.7514073
282	국립산림치유원	경상북도 영주시 봉현면 테라피로 209	6810	36.866437	128.4940259
283	방화동 자연휴양림,가족휴가촌	전라북도 장수군 번암면 방화동로 778	23920	35.5928311	127.5285956
284	태백고원자연휴양림	강원도 태백시 머리골길 153	49710	37.12347990000001	129.0659795
285	파라다이스 씨티 씨메르(인천)	인천광역시 중구 영종해안남로321번길 186	0	37.4400798	126.4533903
286	동해무릉건강숲	강원도 동해시 삼화로 455	7947	37.4762914	129.0469674
287	제주허브동산	제주특별자치도 서귀포시 표선면 돈오름로 170	37285	33.3298498	126.8148541
288	대구 스파밸리	대구광역시 달성군 가창면 가창로 891	60487	35.7750958	128.6409069
289	정남진 편백숲 우드랜드	전라남도 장흥군 장흥읍 우드랜드길 180	8881	34.66765	126.9341757
